split_year,outcome,outcome_value,feature,n,missing_n,missing_rate
2020,y_P1,0,EMT_問卷_膚色__蒼白、溼冷,5270,0,0.0
2020,y_P1,0,EMT_問卷_膚色__黃疸,5270,0,0.0
2020,y_P1,0,EMT_問卷_膚色__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_問卷_膚色__MISSING,5270,0,0.0
2020,y_P1,0,EMT_問卷_左瞳孔光反射__+,5270,0,0.0
2020,y_P1,0,EMT_問卷_左瞳孔光反射__-,5270,0,0.0
2020,y_P1,0,EMT_問卷_左瞳孔光反射__無法測量,5270,0,0.0
2020,y_P1,0,EMT_問卷_左瞳孔光反射__眼疾,5270,0,0.0
2020,y_P1,0,EMT_問卷_左瞳孔光反射__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_問卷_左瞳孔光反射__MISSING,5270,0,0.0
2020,y_P1,0,EMT_問卷_右瞳孔光反射__+,5270,0,0.0
2020,y_P1,0,EMT_問卷_右瞳孔光反射__-,5270,0,0.0
2020,y_P1,0,EMT_問卷_右瞳孔光反射__無法測量,5270,0,0.0
2020,y_P1,0,EMT_問卷_右瞳孔光反射__眼疾,5270,0,0.0
2020,y_P1,0,EMT_問卷_右瞳孔光反射__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_問卷_右瞳孔光反射__MISSING,5270,0,0.0
2020,y_P1,0,EMT_問卷_氣管位置__其他,5270,0,0.0
2020,y_P1,0,EMT_問卷_氣管位置__正常,5270,0,0.0
2020,y_P1,0,EMT_問卷_氣管位置__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_問卷_氣管位置__MISSING,5270,0,0.0
2020,y_P1,0,EMT_問卷_頸靜脈怒張__其他,5270,0,0.0
2020,y_P1,0,EMT_問卷_頸靜脈怒張__有,5270,0,0.0
2020,y_P1,0,EMT_問卷_頸靜脈怒張__無,5270,0,0.0
2020,y_P1,0,EMT_問卷_頸靜脈怒張__OTHER_RARE,5270,0,0.0
2020,y_P1,0,EMT_問卷_頸靜脈怒張__MISSING,5270,0,0.0
2020,y_P1,0,EMT_問卷_血糖狀態__High,5270,0,0.0
