task_id,outcome,model,model_family,split,metric,value,lower_ci,upper_ci,status,n,events,patient_groups,bootstrap_b,bootstrap_success,bootstrap_failures,bootstrap_minimum_success_required,bootstrap_method,validation_cohort_n,coverage_rate,source_id
P1_03-evaluation-P1,P1,lightgbm__isotonic,gbdt,validation_2024,Brier,0.010554309908684844,0.00969595763155527,0.011351164680376693,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__isotonic,gbdt,validation_2024,calibration_in_large,0.4632436961217137,0.3682808179623424,0.5584964158774968,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__isotonic,gbdt,validation_2024,calibration_intercept,0.9425218497492655,0.5560496145892304,1.3982327633504663,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__isotonic,gbdt,validation_2024,calibration_slope,1.1592166889833628,1.032328029159998,1.3148064075208974,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__platt,gbdt,validation_2024,AUROC,0.9486846776730653,0.9290815998742732,0.9659876562918657,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__platt,gbdt,validation_2024,AUPRC,0.46249772481422885,0.3715340539773577,0.5624716681962351,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__platt,gbdt,validation_2024,Brier,0.010448893001844919,0.00964637928191074,0.01122459465682049,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__platt,gbdt,validation_2024,calibration_in_large,0.49285815964086366,0.39761340544180596,0.5859921728267754,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__platt,gbdt,validation_2024,calibration_intercept,1.064186386218189,0.6858134142331943,1.520697321024318,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__platt,gbdt,validation_2024,calibration_slope,1.18490143100854,1.0633840790915554,1.3334327084144197,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__raw,gbdt,validation_2024,AUROC,0.9486846776730653,0.9293907162675776,0.9658679038480219,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
P1_03-evaluation-P1,P1,lightgbm__raw,gbdt,validation_2024,AUPRC,0.46249772481422885,0.37654577080526225,0.5590771008343696,ESTIMATED,7504,107,6600,2000,2000,0,1900,outcome_stratified_patient_group_cluster,7504,1.0,s0009
