outcome,model,model_family,curve_type,grid_prediction,observed_probability,lower_ci,upper_ci,bootstrap_b,bootstrap_success,bootstrap_failures,bootstrap_minimum_success_required,status,kernel_bandwidth_logit,n,events,validation_cohort_n,coverage_rate,source_id
P1,catboost__platt,gbdt,flexible_kernel,0.00012188170548725818,5.0910643550614065e-27,2.573248810110662e-33,1.6335122223508728e-26,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.00021511294689432678,3.517435429798484e-19,2.391134556008047e-24,1.1003252701522365e-18,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.0002972914711135741,2.1158847655617056e-15,6.308081491345098e-20,6.541312783141739e-15,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.0003879288320588488,1.0827460321838616e-12,1.0965789264655656e-16,3.3428081901495566e-12,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.0004732003185993355,6.620640114175422e-11,1.6636337958890684e-14,2.0431988439202393e-10,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.0005644502516645604,1.741058260775488e-09,9.788172170105408e-13,5.354643106307309e-09,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.0006772133868160674,3.528186614998523e-08,4.5057848216418265e-11,1.0801742177924061e-07,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.000780399550459315,2.841598587278215e-07,6.911809652811104e-10,8.65100990326119e-07,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.0009112724939335871,2.1466695769533117e-06,1.042424121066798e-08,6.48210093567524e-06,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.0010755908900939928,1.3790566043774351e-05,1.3961863387838266e-07,4.0951753500410986e-05,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
P1,catboost__platt,gbdt,flexible_kernel,0.001261535889563746,6.14703911192787e-05,1.2372289112285847e-06,0.00017769101257235,2000,2000,0,1900,ESTIMATED,0.28429380018005646,7504.0,107.0,7504,1.0,s0010
