id,group,outcome,model,role,trained_population,target_n,missing_target_rows,coverage,n,events,AUROC,AUPRC,Brier,prevalence
overall_P2_score_mSI,overall,P2,score_mSI,overall_trained_single_score_logistic_probability,overall,7289,981,score_component_available_subset_of_current_cohort,6308,438,0.6426874518681011,0.16993654584670043,0.22654034550622423,0.06943563728598605
medicine_P2_score_mSI,medicine,P2,score_mSI,overall_trained_single_score_logistic_probability,overall,4770,764,score_component_available_subset_of_current_cohort,4006,419,0.6399235371964392,0.21073523433441582,0.2372482484361291,0.10459311033449825
surgery_P2_score_mSI,surgery,P2,score_mSI,overall_trained_single_score_logistic_probability,overall,2712,382,score_component_available_subset_of_current_cohort,2330,27,0.3695341020568984,0.0131060787622329,0.20851176180746117,0.011587982832618025
overall_P2_score_aSI,overall,P2,score_aSI,overall_trained_single_score_logistic_probability,overall,7289,6,score_component_available_subset_of_current_cohort,7283,526,0.7743354167006642,0.21383346099054518,0.20468321694399932,0.07222298503363998
medicine_P2_score_aSI,medicine,P2,score_aSI,overall_trained_single_score_logistic_probability,overall,4770,147,score_component_available_subset_of_current_cohort,4623,503,0.7416083595514293,0.2536991634168101,0.2366052526136225,0.10880380705169804
surgery_P2_score_aSI,surgery,P2,score_aSI,overall_trained_single_score_logistic_probability,overall,2712,26,score_component_available_subset_of_current_cohort,2686,31,0.6963550209586294,0.05406081538613734,0.15344322315387718,0.01154132539091586
overall_P2_score_rSI,overall,P2,score_rSI,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,526,0.6388265607597592,0.1503372641216084,0.24548256079465552,0.0721635340924681
medicine_P2_score_rSI,medicine,P2,score_rSI,overall_trained_single_score_logistic_probability,overall,4770,144,score_component_available_subset_of_current_cohort,4626,503,0.6384877733357315,0.20008410216070782,0.24865651614106735,0.10873324686554259
surgery_P2_score_rSI,surgery,P2,score_rSI,overall_trained_single_score_logistic_probability,overall,2712,23,score_component_available_subset_of_current_cohort,2689,31,0.3980921867035607,0.04330881875534659,0.23993666153322868,0.011528449237634809
overall_P2_score_rSI_sMS,overall,P2,score_rSI_sMS,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,526,0.7526071461300556,0.27583384778486986,0.21122967204332804,0.0721635340924681
medicine_P2_score_rSI_sMS,medicine,P2,score_rSI_sMS,overall_trained_single_score_logistic_probability,overall,4770,191,score_component_available_subset_of_current_cohort,4579,495,0.7356228791341426,0.3078746845147044,0.22786762951225545,0.10810220572177331
surgery_P2_score_rSI_sMS,surgery,P2,score_rSI_sMS,overall_trained_single_score_logistic_probability,overall,2712,24,score_component_available_subset_of_current_cohort,2688,31,0.6608896766909078,0.07333695418281855,0.18275758237117823,0.011532738095238096
overall_P2_score_rSI_GCSM,overall,P2,score_rSI_GCSM,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,526,0.7327099645858786,0.26665144816293834,0.21633359015082176,0.0721635340924681
medicine_P2_score_rSI_GCSM,medicine,P2,score_rSI_GCSM,overall_trained_single_score_logistic_probability,overall,4770,191,score_component_available_subset_of_current_cohort,4579,495,0.7182839660067868,0.30104568105397544,0.22974352433795964,0.10810220572177331
surgery_P2_score_rSI_GCSM,surgery,P2,score_rSI_GCSM,overall_trained_single_score_logistic_probability,overall,2712,24,score_component_available_subset_of_current_cohort,2688,31,0.6295603821918971,0.11612416493241251,0.19329342523750914,0.011532738095238096
overall_P2_score_SIAVPU,overall,P2,score_SIAVPU,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,526,0.5277583968686698,0.14863610770975927,0.24900361982446653,0.0721635340924681
medicine_P2_score_SIAVPU,medicine,P2,score_SIAVPU,overall_trained_single_score_logistic_probability,overall,4770,144,score_component_available_subset_of_current_cohort,4626,503,0.5176498612014548,0.16903079968609225,0.2491040804307982,0.10873324686554259
surgery_P2_score_SIAVPU,surgery,P2,score_SIAVPU,overall_trained_single_score_logistic_probability,overall,2712,23,score_component_available_subset_of_current_cohort,2689,31,0.6745673438675696,0.2092472717355004,0.24890058965455553,0.011528449237634809
overall_P2_score_sMS,overall,P2,score_sMS,overall_trained_single_score_logistic_probability,overall,7289,0,exact_current_cohort,7289,526,0.686790937493148,0.19640383275458395,0.18906988936104802,0.0721635340924681
