id,group,outcome,model,alias_of,trained_population,evaluation_population,split,coverage,target_n,row_set_sha256,metric,value,lower_ci,upper_ci,status,reason,n,events,patient_groups,bootstrap_b,bootstrap_success,bootstrap_minimum_success_required,bootstrap_method,seed,derived_seed,model_point_value
overall_P1_score_sMS,overall,P1,score_sMS,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUROC,0.7654412781850879,0.6995501018241268,0.8254781510366969,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,84530743,0.7654412781850879
overall_P1_score_sMS,overall,P1,score_sMS,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUPRC,0.04076130401226759,0.02808689906606801,0.056315812254482435,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,84530743,0.04076130401226759
overall_P1_score_sMS,overall,P1,score_sMS,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,Brier,0.1610181504388293,0.1565471567613259,0.16557945378230654,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,84530743,0.1610181504388293
overall_P1_score_qSOFA,overall,P1,score_qSOFA,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUROC,0.8793805044496703,0.8384391944533832,0.9147750920859461,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,1516228858,0.8793805044496703
overall_P1_score_qSOFA,overall,P1,score_qSOFA,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,AUPRC,0.054827399021546534,0.039671977260528735,0.07969987418666112,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,1516228858,0.054827399021546534
overall_P1_score_qSOFA,overall,P1,score_qSOFA,,overall,overall,validation_2024,exact_current_cohort,7289,5d8bf17dc94e374c28166ff042a59f9267d0d774cfcf16dd4b15d5b520f645e6,Brier,0.17395795615590695,0.1689238706534088,0.179423852501488,ESTIMATED,,7289,60,6434,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,1516228858,0.17395795615590695
overall_P1_score_MEWS,overall,P1,score_MEWS,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,349f2754ba90ab7e749e83be36898f18d6c2a7ee90f42aa14df2b41c9212038d,AUROC,0.8598206050544179,0.8077108016867175,0.9050267642359247,ESTIMATED,,7288,60,6433,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2791977723,0.8598206050544179
overall_P1_score_MEWS,overall,P1,score_MEWS,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,349f2754ba90ab7e749e83be36898f18d6c2a7ee90f42aa14df2b41c9212038d,AUPRC,0.06138745170969849,0.03875910905713675,0.11861337178923802,ESTIMATED,,7288,60,6433,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2791977723,0.06138745170969849
overall_P1_score_MEWS,overall,P1,score_MEWS,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,349f2754ba90ab7e749e83be36898f18d6c2a7ee90f42aa14df2b41c9212038d,Brier,0.1682607406109177,0.1634756431261985,0.17286222838610402,ESTIMATED,,7288,60,6433,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,2791977723,0.1682607406109177
overall_P1_score_REMS,overall,P1,score_REMS,,overall,overall,validation_2024,score_component_available_subset_of_current_cohort,7289,31c450d82c0ff3be50b48bf73e165b23ca00cf04b96c1177359a11c9eafcabc5,AUROC,0.8566948700254613,0.8030259805506098,0.9079307189678794,ESTIMATED,,6306,47,5575,2000,2000,1900,outcome_stratified_patient_group_cluster,20260710,755751290,0.8566948700254613
